sensor_index,humidity,temperature,pm2_5,latitude,longitude,date_time
84019,20,27.3,1.25,40.68,-112.01,2025-06-07 13:00:00
84019,20,27.9,1.100000023841858,40.68,-112.01,2025-06-07 14:00:00
84019,20,28.2,1.0499999523162842,40.68,-112.01,2025-06-07 15:00:00
84019,20,28.1,1.0499999523162842,40.68,-112.01,2025-06-07 16:00:00
84019,20,28.1,0.8999999761581421,40.68,-112.01,2025-06-07 17:00:00
84019,20,27.8,1.0499999523162842,40.68,-112.01,2025-06-07 18:00:00
84019,22,27.4,0.8999999761581421,40.68,-112.01,2025-06-07 19:00:00
84019,31,24.9,0.8999999761581421,40.68,-112.01,2025-06-07 20:00:00
84019,31,21.1,0.8500000238418579,40.68,-112.01,2025-06-07 21:00:00
84019,27,20.6,0.8500000238418579,40.68,-112.01,2025-06-07 22:00:00
84019,27,20.2,0.8999999761581421,40.68,-112.01,2025-06-07 23:00:00
46777,16,19.5,1.5,40.68,-112.0,2025-06-07 00:00:00
46777,16,18.6,1.7000000476837158,40.68,-112.0,2025-06-07 01:00:00
46777,17,17.5,1.850000023841858,40.68,-112.0,2025-06-07 02:00:00
46777,18,16.5,1.950000047683716,40.68,-112.0,2025-06-07 03:00:00
46777,19,15.2,1.950000047683716,40.68,-112.0,2025-06-07 04:00:00
46777,22,14.3,2.0,40.68,-112.0,2025-06-07 05:00:00
46777,24,14.9,2.299999952316284,40.68,-112.0,2025-06-07 06:00:00
46777,38,16.7,2.0999999046325684,40.68,-112.0,2025-06-07 07:00:00
46777,39,19.6,1.899999976158142,40.68,-112.0,2025-06-07 08:00:00
46777,30,22.1,2.150000095367432,40.68,-112.0,2025-06-07 09:00:00
46777,27,24.0,2.0999999046325684,40.68,-112.0,2025-06-07 10:00:00
46777,22,25.7,1.950000047683716,40.68,-112.0,2025-06-07 11:00:00
46777,20,27.2,1.75,40.68,-112.0,2025-06-07 12:00:00
46777,20,27.4,1.75,40.68,-112.0,2025-06-07 13:00:00
46777,20,28.0,1.600000023841858,40.68,-112.0,2025-06-07 14:00:00
46777,20,28.3,1.7000000476837158,40.68,-112.0,2025-06-07 15:00:00
46777,20,28.2,1.5499999523162842,40.68,-112.0,2025-06-07 16:00:00
46777,20,28.2,1.4500000476837158,40.68,-112.0,2025-06-07 17:00:00
46777,20,27.9,1.399999976158142,40.68,-112.0,2025-06-07 18:00:00
46777,22,27.5,1.350000023841858,40.68,-112.0,2025-06-07 19:00:00
46777,31,25.0,1.350000023841858,40.68,-112.0,2025-06-07 20:00:00
46777,31,21.2,1.25,40.68,-112.0,2025-06-07 21:00:00
46777,27,20.7,1.2000000476837158,40.68,-112.0,2025-06-07 22:00:00
46777,27,20.3,1.2000000476837158,40.68,-112.0,2025-06-07 23:00:00
6314,16,19.6,5.483398457517552e-11,40.68,-111.99,2025-06-07 00:00:00
6314,16,18.7,7.618942282627826e-11,40.68,-111.99,2025-06-07 01:00:00
6314,17,17.6,5.1008617468761835e-11,40.68,-111.99,2025-06-07 02:00:00
6314,18,16.6,5.239713177229709e-11,40.68,-111.99,2025-06-07 03:00:00
6314,19,15.3,5.896679672323657e-11,40.68,-111.99,2025-06-07 04:00:00
6314,22,14.4,3.3465591409154165e-11,40.68,-111.99,2025-06-07 05:00:00
6314,24,15.0,3.5194732544985285e-11,40.68,-111.99,2025-06-07 06:00:00
6314,38,16.7,3.123159716955648e-11,40.68,-111.99,2025-06-07 07:00:00
6314,39,19.6,2.8071314370214928e-11,40.68,-111.99,2025-06-07 08:00:00
6314,30,22.1,1.3974309556741282e-11,40.68,-111.99,2025-06-07 09:00:00
6314,27,24.0,4.4842376339948586e-11,40.68,-111.99,2025-06-07 10:00:00
6314,22,25.7,2.615597322064289e-11,40.68,-111.99,2025-06-07 11:00:00
6314,20,27.2,5.903233457615897e-11,40.68,-111.99,2025-06-07 12:00:00
6314,20,27.4,1.9683454519081597e-11,40.68,-111.99,2025-06-07 13:00:00
6314,20,28.0,3.885372926171193e-11,40.68,-111.99,2025-06-07 14:00:00
6314,20,28.3,2.7075139005794388e-11,40.68,-111.99,2025-06-07 15:00:00
6314,20,28.2,2.699756911084261e-11,40.68,-111.99,2025-06-07 16:00:00
6314,20,28.2,2.520258481075732e-11,40.68,-111.99,2025-06-07 17:00:00
6314,20,27.9,8.183361974167802e-12,40.68,-111.99,2025-06-07 18:00:00
6314,22,27.5,4.0351839925012456e-11,40.68,-111.99,2025-06-07 19:00:00
6314,31,25.0,2.775459029269456e-11,40.68,-111.99,2025-06-07 20:00:00
6314,31,21.2,-1.0697491070049692e-12,40.68,-111.99,2025-06-07 21:00:00
6314,27,20.7,-7.695569984207673e-13,40.68,-111.99,2025-06-07 22:00:00
6314,27,20.3,1.2689561207368527e-11,40.68,-111.99,2025-06-07 23:00:00
6314,17,18.0,5.483398457517552e-11,40.68,-111.98,2025-06-07 00:00:00
6314,17,17.6,7.618942282627826e-11,40.68,-111.98,2025-06-07 01:00:00
6314,20,15.7,5.1008617468761835e-11,40.68,-111.98,2025-06-07 02:00:00
6314,22,14.2,5.239713177229709e-11,40.68,-111.98,2025-06-07 03:00:00
